tool,refactoring,input,output,LLM,Date,LLM Output,LLM Answer,Correct,,,,,,,,
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public class ClassId_2 {
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

  * The signature of `methodid_0` in `Package_0.ClassId_0` changed from `protected long methodid_0()` to `protected long methodid_0(int i)`.  
  * Consequently, the call in `Package_1.ClassId_1.m_0()` was updated from `methodid_0()` to `methodid_0(0)` to match the new parameter requirement.  

No other refactorings from the provided list are evident in this transformation.",- **Add Method Parameter**,Yes,819,Add Parameter,100,100,,,,9
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;

public class ClassId_0  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;
import Package_0.*;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_2  {
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

**Justification:**  
In the original code `ClassId_0` defined a protected method `methodid_0()` with no parameters, which was invoked by `m_0()`. In the transformed version, that same method is changed to `long methodid_0(int i)`—a new integer parameter has been added. The call site in `m_0()` is updated accordingly (`methodid_0(0)`). No other refactoring types from the list apply to this change.",- **Add Method Parameter**,Yes,,Encapsulate Field,100,100,,,,
Eclipse,Add Parameter,"package Package_0;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0();
  }
}","package Package_0;
public class ClassId_0 {
  public long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return methodid_0(0);
  }
}",gpt-oss:20b,2026-07-06,"- **(Add Method Parameter)**  

**Justification:**  
The signature of `ClassId_0.methodid_0` changed from a no‑argument method to `methodid_0(int i)` in the transformed version, introducing a new parameter. Consequently, the call site in `ClassId_2.m_0()` was updated to pass an argument (`0`). No other classes, methods, or packages were renamed, moved, or otherwise altered, so this single refactoring accounts for all observable changes.",- **(Add Method Parameter)**,Yes,,Move Method,76,100,,,,
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  public long m_0(){
    return this.methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  protected long methodid_0(  int a){
    return 0;
  }
}","package Package_0;

public class ClassId_0  {
  long methodid_0(int i) {
    return 1;
  }
}
package Package_0;

public class ClassId_1 extends ClassId_0  {
  public long m_0() {
    return this.methodid_0(0);
  }
}
package Package_1;
import Package_0.*;

public class ClassId_2 extends ClassId_1  {
  protected long methodid_0(int a) {
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

  *The transformation introduces a new integer parameter `i` to the existing method `methodid_0()` in `ClassId_0`. Consequently, every call site (`m_0()` in `ClassId_1`) is updated to supply an argument (`this.methodid_0(0)`). No other refactorings such as renaming, moving, or extracting classes/fields are evident.*",- **Add Method Parameter**,Yes,,Pull Up Field,100,100,,,,
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return super.methodid_0();
  }
}","package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_2 extends ClassId_1 {
  public long m_0(){
    return super.methodid_0(0);
  }
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

  *The `methodid_0` in `ClassId_0` was modified from a no‑parameter signature to `methodid_0(int i)`. The implementation body remained unchanged, and the call site in `ClassId_2.m_0()` was updated accordingly to pass an integer argument (`super.methodid_0(0)`), reflecting the new parameter.*",- **Add Method Parameter**,Yes,,Pull Up Method,45,47,,,,
JRRT,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_0 implements ClassId_2  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;

public interface ClassId_2  {
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

**Justification:**  
In `ClassId_0` the method `methodid_0()` originally had no parameters and was declared `protected`. In the transformed version it becomes `long methodid_0(int i)` (package‑private) – a new integer parameter has been introduced. The call site in `m_0()` is updated accordingly to pass the literal `0`. This change reflects an **Add Method Parameter** refactoring. No other listed refactorings are present.",- **Add Method Parameter**,Yes,,Push Down Field,97,100,,,,
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(){
    return 0;
  }
}","package Package_0;
import Package_1.*;
public class ClassId_0 extends ClassId_2 {
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  public long methodid_0(  int a){
    return 1;
  }
}

package Package_1;
public class ClassId_2 {
  protected long methodid_0(int i){
    return 0;
  }
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

  *The `methodid_0` declared in `ClassId_2` was extended with a new integer parameter (`int i`). Consequently, the call site in `ClassId_0.m_0()` was updated from `methodid_0()` to `methodid_0(0)`. No other structural changes (renames, moves, pulls/pushes) are present.*",- **Add Method Parameter**,Yes,,Push Down Method,10,11,,,,
JRRT,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_0 {
  public long methodid_0(){
    return 1;
  }
}

package Package_1;
public class ClassId_2 extends ClassId_0 {
  public long m_0(){
    return this.methodid_0();
  }
}","package Package_0;
import Package_1.*;

public class ClassId_1 extends ClassId_0  {
  protected long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_0  {
  long methodid_0(int i) {
    return 1;
  }
}
package Package_1;

public class ClassId_2 extends ClassId_0  {
  public long m_0() {
    return this.methodid_0(0);
  }
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

  * The signature of `ClassId_0.methodid_0` changed from `public long methodid_0()` to `long methodid_0(int i)`.  
  * All calls to this method were updated accordingly (`this.methodid_0(0)` in `ClassId_2`). This is precisely the effect of introducing a new parameter to an existing method.",- **Add Method Parameter**,Yes,,Rename Field,94,100,,,,
Eclipse,Add Parameter,"package Package_0;
import Package_1.*;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0();
  }
}

package Package_1;
public interface ClassId_2 {
}","package Package_0;
import Package_1.*;
public class ClassId_0 implements ClassId_2 {
  protected long methodid_0(int i){
    return 1;
  }
}

package Package_1;
import Package_0.*;
public class ClassId_1 extends ClassId_0 {
  protected long methodid_0(  int a){
    return 0;
  }
  public long m_0(){
    return methodid_0(0);
  }
}

package Package_1;
public interface ClassId_2 {
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter** – Introduced a new `int` parameter to the existing method `methodid_0()` in `ClassId_0`.

**Justification**

- In `Package_0/ClassId_0`, the signature of `methodid_0` changed from `protected long methodid_0()` to `protected long methodid_0(int i)`.  
- Correspondingly, the call site in `Package_1/ClassId_1.m_0()` was updated from `return methodid_0();` to `return methodid_0(0);` to match the new parameter requirement.",- **Add Method Parameter** – Introduced a new `int` parameter to the existing method `methodid_0()` in `ClassId_0`.,Yes,,Rename Method,100,100,,,,
JRRT,Add Parameter,"package Package_0;
public class ClassId_0 {
  protected long methodid_0(){
    return 1;
  }
  public long m_0(){
    return ClassId_0.this.methodid_0();
  }
}

package Package_0;
public class ClassId_1 extends ClassId_0 {
  long methodid_0(  int a){
    return 0;
  }
}

package Package_1;
public class ClassId_2 {
}","package Package_0;

public class ClassId_0  {
  public long m_0() {
    return ClassId_0.this.methodid_0(0);
  }
  private long methodid_0(int i) {
    return 1;
  }
}
package Package_0;

public class ClassId_1 extends ClassId_0  {
  long methodid_0(int a) {
    return 0;
  }
}
package Package_1;

public class ClassId_2  {
}",gpt-oss:20b,2026-07-06,"- **Add Method Parameter**

**Justification**

* In the original code `ClassId_0` defines a protected method `methodid_0()` with no parameters.  
* The transformed version changes this method to `private long methodid_0(int i)`, adding an integer parameter.  
* Consequently, the call in `m_0()` is updated from `methodid_0()` to `methodid_0(0)` to supply the new argument.  

No other refactorings from the provided list are reflected in this transformation.",- **Add Method Parameter**,Yes,,Rename Class,97,100,,,,
